Step,Loss,F1,EM
1500,7.723595,13.326813,8.25
3000,5.880456,32.217521,25.5
4500,4.86028,48.744103,41.416667
6000,3.968089,65.03853,56.666667
7500,3.938133,68.538262,60.583333
9000,4.137122,69.106986,61.75
10500,4.359822,70.285624,62.583333
12000,4.710354,69.273099,61.666667
13500,5.087365,70.067289,62.166667
15000,5.644809,69.48521,62.583333
16500,6.298853,69.830068,63
18000,6.986157,68.870397,62
19500,7.731748,68.66701,62
21000,8.299747,68.273235,61.25
22500,8.842859,68.430884,61.333333
24000,9.164884,68.288372,61.166667
Evaluation,3.718205,70.7553,60.1796
