Step,Loss,F1,EM
1500,7.679197,13.54968,8.25
3000,5.763209,33.968127,26.833333
4500,4.876285,48.927356,41.666667
6000,3.962272,65.318148,58
7500,3.850251,69.547705,63.166667
9000,3.93772,70.247204,64.083333
10500,4.15443,71.548076,65.583333
12000,4.47769,71.494251,65.333333
13500,4.932404,70.726342,64.833333
15000,5.392893,70.62534,64
16500,5.975933,70.603519,64
18000,6.593344,70.581926,64.25
19500,7.270368,69.569196,63.083333
21000,7.984374,68.858114,62.166667
22500,8.472004,69.060252,62.583333
24000,8.743646,68.872181,62.25
Evaluation,3.710374,70.5561,59.9981
