Step,Loss,F1,EM
1500,14.201367,6.300091,0.166667
3000,9.254848,6.680315,0.333333
4500,8.894356,7.150327,1.5
6000,8.745188,8.031062,2.75
7500,8.623546,8.30455,3.166667
9000,8.521168,8.601336,3.5
10500,8.451488,8.775733,3.583333
12000,8.389534,8.660469,3.75
13500,8.343798,8.973791,3.916667
15000,8.307499,8.784577,3.833333
16500,8.279934,8.874386,3.833333
18000,8.266364,8.998864,4.083333
19500,8.254919,8.974015,3.916667
21000,8.24674,8.951308,4
22500,8.243527,9.217244,4.083333
24000,8.242997,9.132059,4.083333
Evaluation,8.566898,9.261496,3.840642
