Step,Loss,F1,EM
1500,7.178632,17.294908,9.916667
3000,5.140443,39.464031,31.833333
4500,4.135099,59.50352,51.916667
6000,3.795215,68.290639,60.916667
7500,3.815889,70.859301,63.5
9000,3.996537,72.077752,65.5
10500,4.120715,72.005263,65.5
12000,4.407669,71.411236,65.25
13500,4.796346,71.041885,64.666667
15000,5.204373,70.335854,63.833333
16500,5.742586,69.595898,63
18000,6.322984,69.273691,62.583333
19500,6.930097,69.545531,63
21000,7.459949,69.793557,62.666667
22500,7.960562,69.767499,62.666667
24000,,,
Evaluation,3.557425,71.522,61.2401
